{'moisture_value_1': 27100.0, 'moisture_value_2': 760.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M00S05'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 760.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.5116, 'time': 'D01M06Y2021H00M00S09'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 740.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M00S41'}
{'moisture_value_1': 26700.0, 'moisture_value_2': 740.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M01S14'}
{'moisture_value_1': 26900.0, 'moisture_value_2': 760.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M01S47'}
{'moisture_value_1': 27100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M02S19'}
{'moisture_value_1': 26900.0, 'moisture_value_2': 800.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M02S52'}
{'moisture_value_1': 27100.0, 'moisture_value_2': 820.0, 'moisture_value_3': -33.333333333333314, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.5116, 'time': 'D01M06Y2021H00M03S25'}
{'moisture_value_1': 26900.0, 'moisture_value_2': 820.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M03S57'}
{'moisture_value_1': 27400.0, 'moisture_value_2': 820.0, 'moisture_value_3': 50.0, 'temp_value_1': 68.45, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M04S30'}
{'moisture_value_1': 27400.0, 'moisture_value_2': 820.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M05S03'}
{'moisture_value_1': 27300.0, 'moisture_value_2': 800.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 68.45, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M05S35'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 800.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 68.45, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M06S08'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 780.0, 'moisture_value_3': 66.66666666666667, 'temp_value_1': 68.45, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M06S40'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 780.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M07S13'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M07S46'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 760.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.45, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M08S18'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M08S51'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 740.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M09S24'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 740.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.3366, 'temp_value_2': 64.0616, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M09S56'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 760.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M10S29'}
{'moisture_value_1': 27300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.5116, 'time': 'D01M06Y2021H00M11S02'}
{'moisture_value_1': 27800.0, 'moisture_value_2': 840.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M11S34'}
{'moisture_value_1': 27400.0, 'moisture_value_2': 820.0, 'moisture_value_3': 0.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M12S07'}
{'moisture_value_1': 27400.0, 'moisture_value_2': 820.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M12S39'}
{'moisture_value_1': 27600.0, 'moisture_value_2': 820.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M13S12'}
{'moisture_value_1': 27300.0, 'moisture_value_2': 800.0, 'moisture_value_3': 50.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M13S45'}
{'moisture_value_1': 27500.0, 'moisture_value_2': 800.0, 'moisture_value_3': 50.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M14S17'}
{'moisture_value_1': 27300.0, 'moisture_value_2': 800.0, 'moisture_value_3': 50.0, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M14S50'}
{'moisture_value_1': 27500.0, 'moisture_value_2': 780.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M15S23'}
{'moisture_value_1': 27000.0, 'moisture_value_2': 760.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M15S55'}
{'moisture_value_1': 26800.0, 'moisture_value_2': 780.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M16S28'}
{'moisture_value_1': 27300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -116.66666666666666, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M17S01'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 800.0, 'moisture_value_3': -116.66666666666666, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M17S33'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 820.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.3366, 'temp_value_2': 63.95, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M18S06'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 840.0, 'moisture_value_3': -16.66666666666667, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M18S39'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 820.0, 'moisture_value_3': 33.33333333333334, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M19S11'}
{'moisture_value_1': 26800.0, 'moisture_value_2': 800.0, 'moisture_value_3': 16.666666666666657, 'temp_value_1': 68.3366, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M19S44'}
