{'moisture_value_1': 33800.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.2116, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M00S14'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1260.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M00S19'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -350.0, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M00S51'}
{'moisture_value_1': 33700.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.1, 'temp_value_2': 54.95, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M01S24'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -366.6666666666667, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M01S56'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1220.0, 'moisture_value_3': -400.0, 'temp_value_1': 58.2116, 'temp_value_2': 54.95, 'temp_value_3': 56.075, 'time': 'D09M06Y2021H00M02S29'}
{'moisture_value_1': 33400.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -466.66666666666674, 'temp_value_1': 58.2116, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M03S02'}
{'moisture_value_1': 33500.0, 'moisture_value_2': 1200.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M03S34'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1180.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M04S07'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1240.0, 'moisture_value_3': -566.6666666666667, 'temp_value_1': 58.2116, 'temp_value_2': 54.95, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M04S40'}
{'moisture_value_1': 33900.0, 'moisture_value_2': 1280.0, 'moisture_value_3': -533.3333333333333, 'temp_value_1': 58.2116, 'temp_value_2': 54.8366, 'temp_value_3': 55.9616, 'time': 'D09M06Y2021H00M05S12'}
