{'moisture_value_1': 300.0, 'moisture_value_2': -5.263157894736835, 'moisture_value_3': 50.0, 'temp_value_1': 66.98660000000001, 'temp_value_2': 66.98660000000001, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H14M59S05'}
{'moisture_value_1': 400.0, 'moisture_value_2': -10.5263157894737, 'moisture_value_3': 75.0, 'temp_value_1': 66.98660000000001, 'temp_value_2': 66.98660000000001, 'temp_value_3': 65.3, 'time': 'D25M10Y2021H14M59S07'}
{'moisture_value_1': 500.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': -12.5, 'temp_value_1': 66.875, 'temp_value_2': 66.7616, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H14M59S40'}
{'moisture_value_1': 500.0, 'moisture_value_2': -10.5263157894737, 'moisture_value_3': -25.0, 'temp_value_1': 66.875, 'temp_value_2': 66.7616, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M00S13'}
{'moisture_value_1': 600.0, 'moisture_value_2': -10.5263157894737, 'moisture_value_3': -25.0, 'temp_value_1': 66.875, 'temp_value_2': 66.65, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M00S45'}
{'moisture_value_1': 600.0, 'moisture_value_2': 31.578947368421055, 'moisture_value_3': -25.0, 'temp_value_1': 66.875, 'temp_value_2': 66.425, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M01S18'}
{'moisture_value_1': 600.0, 'moisture_value_2': 68.42105263157895, 'moisture_value_3': -37.5, 'temp_value_1': 66.875, 'temp_value_2': 66.425, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M01S51'}
{'moisture_value_1': 700.0, 'moisture_value_2': 57.89473684210527, 'moisture_value_3': -12.5, 'temp_value_1': 66.875, 'temp_value_2': 66.425, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M02S23'}
{'moisture_value_1': 700.0, 'moisture_value_2': 31.578947368421055, 'moisture_value_3': -25.0, 'temp_value_1': 66.875, 'temp_value_2': 66.3116, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M02S56'}
{'moisture_value_1': 700.0, 'moisture_value_2': 52.631578947368425, 'moisture_value_3': -12.5, 'temp_value_1': 66.875, 'temp_value_2': 66.3116, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M03S29'}
{'moisture_value_1': 700.0, 'moisture_value_2': 47.36842105263158, 'moisture_value_3': -25.0, 'temp_value_1': 66.7616, 'temp_value_2': 66.2, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M04S01'}
{'moisture_value_1': 700.0, 'moisture_value_2': -21.05263157894737, 'moisture_value_3': 0.0, 'temp_value_1': 66.7616, 'temp_value_2': 66.0866, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M04S34'}
{'moisture_value_1': 700.0, 'moisture_value_2': 57.89473684210527, 'moisture_value_3': 0.0, 'temp_value_1': 66.7616, 'temp_value_2': 66.0866, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M05S06'}
{'moisture_value_1': 700.0, 'moisture_value_2': 63.15789473684211, 'moisture_value_3': 0.0, 'temp_value_1': 66.7616, 'temp_value_2': 65.975, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M05S39'}
{'moisture_value_1': 700.0, 'moisture_value_2': 36.8421052631579, 'moisture_value_3': -25.0, 'temp_value_1': 66.7616, 'temp_value_2': 65.975, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M06S12'}
{'moisture_value_1': 700.0, 'moisture_value_2': 47.36842105263158, 'moisture_value_3': 0.0, 'temp_value_1': 66.7616, 'temp_value_2': 65.86160000000001, 'temp_value_3': 65.525, 'time': 'D25M10Y2021H15M06S44'}
{'moisture_value_1': 700.0, 'moisture_value_2': -73.68421052631581, 'moisture_value_3': -12.5, 'temp_value_1': 66.7616, 'temp_value_2': 65.75, 'temp_value_3': 65.4116, 'time': 'D25M10Y2021H15M07S17'}
